gene,mean_expr_CKD,mean_expr_Ref,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,f_classif_score,f_classif_p_value,statistical_rank_score,random_forest_importance,knn_permutation_importance_mean,knn_permutation_importance_std,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score,rf_importance_scaled,knn_permutation_importance_scaled,knn_single_gene_importance_scaled,statistical_score_scaled,combined_ml_biomarker_score
KLF9,0.16416456627134768,0.5761277252314803,-0.4119631589601326,down_in_CKD,-3.59877751873338,-11.042265060926027,1.43121029527382e-10,5.93134438084193e-07,105.96436060369732,1.597337329925569e-11,9.231697462032285,0.028999999999999998,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.4283768232632437,0.8856753646526487
ZFAND5,0.3517882468992523,0.9000471989175569,-0.5482589520183045,down_in_CKD,-4.088845992895221,-12.176236263512633,6.091375512178585e-13,9.574600732366685e-09,136.78904907503434,6.705754803229655e-13,17.976294016755624,0.015999999999999993,0.0,0.0,0.9714285714285715,0.975,1.0,0.475,0.5517241379310343,0.0,0.95,0.834150789344498,0.7675198130413133
ELL2,0.05310205946929169,0.13870227787373154,-0.08560021840443985,down_in_CKD,-2.57852250716316,-7.951227601747888,8.090424838445513e-08,9.388128982532173e-05,54.399095345020825,2.6427141621363575e-08,0.8889407689921892,0.02599999999999999,0.0,0.0,1.0,1.0,1.0,0.5,0.8965517241379307,0.0,1.0,0.04124936115554079,0.7668705618862806
PDK4,0.14016515537514512,0.9770571631953469,-0.8368920078202018,down_in_CKD,-4.135404463522512,-12.912062588997014,1.1590233676988412e-10,5.93134438084193e-07,139.92193699299753,5.024377813585101e-13,21.550413002524355,0.011105263157894731,0.0,0.0,1.0,1.0,1.0,0.5,0.3829401088929218,0.0,1.0,1.0,0.7531760435571688
CEBPD,0.49193591819781346,1.3076637403616838,-0.8157278221638703,down_in_CKD,-2.9078986547741783,-8.94972415991379,9.392177782133214e-09,2.2705589788307047e-05,69.18442843448845,2.143559340400494e-09,11.015503038956675,0.019105854523950316,0.0,0.0,0.9428571428571428,0.95,1.0,0.44999999999999996,0.6588225697913902,0.0,0.8999999999999999,0.5111504377046672,0.7257591154574895
NFIL3,0.04227822542631762,0.15090612895325076,-0.10862790352693313,down_in_CKD,-2.134858802772823,-6.678512084120169,2.935516232934927e-06,0.0010260159749089426,37.289635427263185,9.065412383806471e-07,0.6931290087497762,0.023999999999999994,0.0,0.0,0.9714285714285715,0.975,1.0,0.475,0.8275862068965516,0.0,0.95,0.032163142704902455,0.7174671112996012
PER1,0.05506156979772047,0.3446930832111041,-0.2896315134133836,down_in_CKD,-4.063882500368329,-12.599412597490499,5.5651934819129995e-11,5.381542097009871e-07,135.1238807192723,7.835105186838183e-13,7.378901051016746,0.017117056856187286,0.0,0.0,1.0,1.0,1.0,0.5,0.5902433398685272,0.0,1.0,0.3424018393592922,0.7045777038192693
SLC25A33,0.08015389779293702,0.22070924627014657,-0.14055534847720955,down_in_CKD,-4.287671668178622,-12.955612108748193,6.600896747581306e-13,9.574600732366685e-09,150.41559546083167,1.9834629420500713e-13,4.832619208351057,0.018222138022942848,0.0,0.0,1.0,1.0,1.0,0.5,0.6283495869980292,0.0,1.0,0.2242471737216812,0.6961892695435479
TIPARP,0.042599480799684106,0.27665373835528323,-0.2340542575555991,down_in_CKD,-3.2251584101549984,-10.121835131279502,1.1331916418487035e-08,2.528760733079299e-05,85.1043826684924,2.120715439251228e-10,3.4701705211434666,0.01910585452395032,0.0,0.0,1.0,1.0,1.0,0.5,0.6588225697913903,0.0,1.0,0.1610257084510158,0.6957341696067594
APOLD1,0.017205668624403998,0.1709055689491428,-0.1536999003247388,down_in_CKD,-1.5652999153235427,-4.914197237704577,0.00012771919678674086,0.00914847876242803,20.04679493109728,9.546118147172193e-05,0.4904718163096163,0.019105416423995335,0.0,0.0,1.0,1.0,1.0,0.5,0.6588074628963909,0.0,1.0,0.02275927687567583,0.6680748405336916
